,reference,book,token,sentence,entity_id,woman_word,flair_ner,topostext,wikidata
0,1,1,εἰ,0,-,-,-,-,-
1,1,1,"μέν,",0,-,-,-,-,-
2,1,1,ὦ,0,-,-,-,-,-
3,1,1,"ἄνδρες,",0,-,-,-,-,-
4,1,1,ἐν,0,-,-,-,-,-
5,1,1,ἑτέρῳ,0,-,-,-,-,-
6,1,1,τῳ,0,-,-,-,-,-
7,1,1,πράγματι,0,-,-,-,-,-
8,1,1,οἱ,0,-,-,-,-,-
9,1,1,παριόντες,0,-,-,-,-,-
10,1,1,μὴ,0,-,-,-,-,-
11,1,1,τὴν,0,-,-,-,-,-
12,1,1,αὐτὴν,0,-,-,-,-,-
13,1,1,γνώμην,0,-,-,-,-,-
14,1,1,ἔχοντες,0,-,-,-,-,-
15,1,1,πάντες,0,-,-,-,-,-
16,1,1,"ἐφαίνοντο,",0,-,-,-,-,-
17,1,1,οὐδὲν,0,-,-,-,-,-
18,1,1,ἂν,0,-,-,-,-,-
19,1,1,θαυμαστὸν,0,-,-,-,-,-
20,1,1,ἐνόμιζον·,0,-,-,-,-,-
21,1,1,ὅπου,0,-,-,-,-,-
22,1,1,μέντοι,0,-,-,-,-,-
23,1,1,δεῖ,0,-,-,-,-,-
24,1,1,τὴν,0,-,-,-,-,-
25,1,1,πόλιν,0,-,-,-,-,-
26,1,1,ἐμέ,0,-,-,-,-,-
27,1,1,τι,0,-,-,-,-,-
28,1,1,ποιῆσαι,0,-,-,-,-,-
29,1,1,"ἀγαθόν,",0,-,-,-,-,-
30,1,1,ἢ,0,-,-,-,-,-
31,1,1,εἴ,0,-,-,-,-,-
32,1,1,τις,0,-,-,-,-,-
33,1,1,ἕτεροςἕτερος,0,-,-,-,-,-
34,1,1,Reiske:,0,-,-,-,-,-
35,1,1,ἑτέρως,0,-,-,-,-,-
36,1,1,codd.,0,-,-,-,-,-
37,1,1,βούλοιτο,0,-,-,-,-,-
38,1,1,ἐμοῦ,0,-,-,-,-,-
39,1,1,"κακίων,",0,-,-,-,-,-
40,1,1,δεινότατον,0,-,-,-,-,-
41,1,1,ἁπάντων,0,-,-,-,-,-
42,1,1,χρημάτων,0,-,-,-,-,-
43,1,1,"ἡγοῦμαι,",0,-,-,-,-,-
44,1,1,εἰ,0,-,-,-,-,-
45,1,1,τῷ,0,-,-,-,-,-
46,1,1,μὲν,0,-,-,-,-,-
47,1,1,δοκεῖ,0,-,-,-,-,-
48,1,1,ταῦτα,0,-,-,-,-,-
49,1,1,τῷ,0,-,-,-,-,-
50,1,1,δὲ,0,-,-,-,-,-
51,1,1,"μή,",0,-,-,-,-,-
52,1,1,ἀλλὰ,0,-,-,-,-,-
53,1,1,μὴ,0,-,-,-,-,-
54,1,1,πᾶσιν,0,-,-,-,-,-
55,1,1,ὁμοίως.,0,-,-,-,-,-
56,1,1,εἴπερ,0,-,-,-,-,-
57,1,1,γὰρ,0,-,-,-,-,-
58,1,1,ἡ,0,-,-,-,-,-
59,1,1,πόλις,0,-,-,-,-,-
60,1,1,ἁπάντων,0,-,-,-,-,-
61,1,1,τῶν,0,-,-,-,-,-
62,1,1,πολιτευομένων,0,-,-,-,-,-
63,1,1,κοινή,0,-,-,-,-,-
64,1,1,"ἐστι,",0,-,-,-,-,-
65,1,1,καὶ,0,-,-,-,-,-
66,1,1,τὰ,0,-,-,-,-,-
67,1,1,γιγνόμενα,0,-,-,-,-,-
68,1,1,δήπου,0,-,-,-,-,-
69,1,1,ἀγαθὰ,0,-,-,-,-,-
70,1,1,τῇ,0,-,-,-,-,-
71,1,1,πόλει,0,-,-,-,-,-
72,1,1,κοινά,0,-,-,-,-,-
73,1,1,ἐστι.,0,-,-,-,-,-
74,2,2,τουτὶ,0,-,-,-,-,-
75,2,2,τοίνυν,0,-,-,-,-,-
76,2,2,τὸ,0,-,-,-,-,-
77,2,2,μέγα,0,-,-,-,-,-
78,2,2,καὶ,0,-,-,-,-,-
79,2,2,δεινὸν,0,-,-,-,-,-
80,2,2,πάρεστιν,0,-,-,-,-,-
81,2,2,ὑμῖν,0,-,-,-,-,-
82,2,2,ὁρᾶν,0,-,-,-,-,-
83,2,2,τοὺς,0,-,-,-,-,-
84,2,2,μὲν,0,-,-,-,-,-
85,2,2,ἤδη,0,-,-,-,-,-
86,2,2,"πράττοντας,",0,-,-,-,-,-
87,2,2,τοὺς,0,-,-,-,-,-
88,2,2,δὲ,0,-,-,-,-,-
89,2,2,τάχα,0,-,-,-,-,-
90,2,2,μέλλοντας·,0,-,-,-,-,-
91,2,2,καί,0,-,-,-,-,-
92,2,2,μοι,0,-,-,-,-,-
93,2,2,μέγιστον,0,-,-,-,-,-
94,2,2,θαῦμα,0,-,-,-,-,-
95,2,2,"παρέστηκε,",0,-,-,-,-,-
96,2,2,τί,0,-,-,-,-,-
97,2,2,ποτε,0,-,-,-,-,-
98,2,2,οὗτοι,0,-,-,-,-,-
99,2,2,οἱ,0,-,-,-,-,-
100,2,2,ἄνδρες,0,-,-,-,-,-
101,2,2,δεινῶς,0,-,-,-,-,-
102,2,2,οὕτω,0,-,-,-,-,-
103,2,2,"περικάονται,",0,-,-,-,-,-
104,2,2,εἴ,0,-,-,-,-,-
105,2,2,τι,0,-,-,-,-,-
106,2,2,ὑμᾶς,0,-,-,-,-,-
107,2,2,χρὴ,0,-,-,-,-,-
108,2,2,ἀγαθὸν,0,-,-,-,-,-
109,2,2,ἐμοῦ,0,-,-,-,-,-
110,2,2,ἐπαυρέσθαι.,0,-,-,-,-,-
111,2,2,δεῖ,0,-,-,-,-,-
112,2,2,γὰρ,0,-,-,-,-,-
113,2,2,αὐτοὺς,0,-,-,-,-,-
114,2,2,ἤτοι,0,-,-,-,-,-
115,2,2,ἀμαθεστάτους,0,-,-,-,-,-
116,2,2,εἶναι,0,-,-,-,-,-
117,2,2,πάντων,0,-,-,-,-,-
118,2,2,"ἀνθρώπων,",0,-,-,-,-,-
119,2,2,ἢ,0,-,-,-,-,-
120,2,2,τῇ,0,-,-,-,-,-
121,2,2,πόλει,0,-,-,-,-,-
122,2,2,ταύτῃ,0,-,-,-,-,-
123,2,2,δυσμενεστάτους.,0,-,-,-,-,-
124,2,2,εἰ,0,-,-,-,-,-
125,2,2,μέν,0,-,-,-,-,-
126,2,2,γε,0,-,-,-,-,-
127,2,2,νομίζουσι,0,-,-,-,-,-
128,2,2,τῆς,0,-,-,-,-,-
129,2,2,πόλεως,0,-,-,-,-,-
130,2,2,εὖ,0,-,-,-,-,-
131,2,2,πραττούσης,0,-,-,-,-,-
132,2,2,καὶ,0,-,-,-,-,-
133,2,2,τὰ,0,-,-,-,-,-
134,2,2,ἴδια,0,-,-,-,-,-
135,2,2,σφῶν,0,-,-,-,-,-
136,2,2,αὐτῶν,0,-,-,-,-,-
137,2,2,ἄμεινον,0,-,-,-,-,-
138,2,2,ἂν,0,-,-,-,-,-
139,2,2,"φέρεσθαι,",0,-,-,-,-,-
140,2,2,ἀμαθέστατοί,0,-,-,-,-,-
141,2,2,εἰσι,0,-,-,-,-,-
142,2,2,τὰ,0,-,-,-,-,-
143,2,2,ἐναντία,0,-,-,-,-,-
144,2,2,νῦν,0,-,-,-,-,-
145,2,2,τῇ,0,-,-,-,-,-
146,2,2,ἑαυτῶν,0,-,-,-,-,-
147,2,2,ὠφελείᾳ,0,-,-,-,-,-
148,2,2,σπεύδοντες·,0,-,-,-,-,-
149,3,3,εἰ,0,-,-,-,-,-
150,3,3,δὲ,0,-,-,-,-,-
151,3,3,μὴ,0,-,-,-,-,-
152,3,3,ταὐτὰ,0,-,-,-,-,-
153,3,3,ἡγοῦνται,0,-,-,-,-,-
154,3,3,σφίσι,0,-,-,-,-,-
155,3,3,τε,0,-,-,-,-,-
156,3,3,αὐτοῖς,0,-,-,-,-,-
157,3,3,συμφέρειν,0,-,-,-,-,-
158,3,3,καὶ,0,-,-,-,-,-
159,3,3,τῷ,0,-,-,-,-,-
160,3,3,ὑμετέρῳ,0,-,-,-,-,-
161,3,3,"κοινῷ,",0,-,-,-,-,-
162,3,3,δυσμενεῖς,0,-,-,-,-,-
163,3,3,ἂν,0,-,-,-,-,-
164,3,3,τῇ,0,-,-,-,-,-
165,3,3,πόλει,0,-,-,-,-,-
166,3,3,εἶεν·,0,-,-,-,-,-
167,3,3,οἵτινες,0,-,-,-,-,-
168,3,3,εἰσαγγείλαντός,0,-,-,-,-,-
169,3,3,μου,0,-,-,-,-,-
170,3,3,ἀπόρρητα,0,-,-,-,-,-
171,3,3,εἰς,0,-,-,-,-,-
172,3,3,τὴν,0,-,-,-,-,-
173,3,3,βουλὴν,0,1,-,B-ORG,-,-
174,3,3,περὶ,0,-,-,-,-,-
175,3,3,τῶν,0,-,-,-,-,-
176,3,3,"πραγμάτων,",0,-,-,-,-,-
177,3,3,ὧν,0,-,-,-,-,-
178,3,3,ἀποτελεσθέντων,0,-,-,-,-,-
179,3,3,οὐκ,0,-,-,-,-,-
180,3,3,εἰσὶ,0,-,-,-,-,-
181,3,3,τῇ,0,-,-,-,-,-
182,3,3,πόλει,0,-,-,-,-,-
183,3,3,ταύτῃ,0,-,-,-,-,-
184,3,3,μείζονες,0,-,-,-,-,-
185,3,3,"ὠφέλειαι,",0,-,-,-,-,-
186,3,3,καὶ,0,-,-,-,-,-
187,3,3,τούτων,0,-,-,-,-,-
188,3,3,ἀποδεικνύντος,0,-,-,-,-,-
189,3,3,μου,0,-,-,-,-,-
190,3,3,τοῖς,0,-,-,-,-,-
191,3,3,βουλευταῖς,0,-,-,-,-,-
192,3,3,σαφεῖς,0,-,-,-,-,-
193,3,3,τε,0,-,-,-,-,-
194,3,3,καὶ,0,-,-,-,-,-
195,3,3,βεβαίους,0,-,-,-,-,-
196,3,3,τὰς,0,-,-,-,-,-
197,3,3,"ἀποδείξεις,",0,-,-,-,-,-
198,3,3,ἐκεῖ,0,-,-,-,-,-
199,3,3,μὲν,0,-,-,-,-,-
200,3,3,οὔτε,0,-,-,-,-,-
201,3,3,τούτων,0,-,-,-,-,-
202,3,3,τῶν,0,-,-,-,-,-
203,3,3,ἀνδρῶν,0,-,-,-,-,-
204,3,3,οἱ,0,-,-,-,-,-
205,3,3,παραγενόμενοι,0,-,-,-,-,-
206,3,3,ἐλέγχοντεςἐλέγχοντες,0,-,-,-,-,-
207,3,3,Emperius:,0,-,-,-,-,-
